nom,url_flux,domaine,type
Benedict Evans,https://www.ben-evans.com/benedictevans/rss.xml,Tech/IA,Référent
Stéphane Schultz (15marches),https://15marches.substack.com/feed,Mobilité/Territoires,Référent
Exponential View (Azeem Azhar),https://www.exponentialview.co/feed,Tech & Société,Référent
Import AI (Jack Clark),https://jack-clark.net/feed/,IA,Veille
MIT Technology Review,https://www.technologyreview.com/feed/,Tech,Média
The Batch (DeepLearning.AI),https://www.deeplearning.ai/the-batch/feed/,IA,Média
Techniques de l'Ingénieur,https://www.techniques-ingenieur.fr/actualite/feed/,Innovation,Média
